comparison,run,arm,method,racemode,metric,point_estimate,boot_median,ci_lo,ci_hi,p_raw,p_bh,fdr_sig
point,eval_fair-fino-weight,pretraining,fino,weight,ecedelta_sex,0.017383,,0.002031,0.098071,,,
point,eval_fair-fino-weight,pretraining,fino,weight,ecedelta_age,0.006841,,0.001557,0.093461,,,
point,eval_fair-fino-weight,pretraining,fino,weight,ece_race_White,0.064797,,,,,,
point,eval_fair-fino-weight,pretraining,fino,weight,ece_race_Asian,0.121333,,,,,,
point,eval_fair-fino-weight,pretraining,fino,weight,ece_race_Black,0.000296,,,,,,
point,eval_fair-fino-weight,pretraining,fino,weight,ece_sex_Male,0.091307,,,,,,
point,eval_fair-fino-weight,pretraining,fino,weight,ece_sex_Female,0.073924,,,,,,
point,eval_fair-fino-weight,pretraining,fino,weight,ece_age_age<med,0.104319,,,,,,
point,eval_fair-fino-weight,pretraining,fino,weight,ece_age_age>=med,0.097478,,,,,,
point,eval_fair-fino-resample,pretraining,fino,resample,auc_overall,0.947021,,0.917302,0.973134,,,
point,eval_fair-fino-resample,pretraining,fino,resample,auc_race_White,0.950855,,,,,,
point,eval_fair-fino-resample,pretraining,fino,resample,auc_race_Asian,0.924097,,,,,,
point,eval_fair-fino-resample,pretraining,fino,resample,auc_race_Black,1.000000,,,,,,
point,eval_fair-fino-resample,pretraining,fino,resample,auc_sex_Male,0.931895,,,,,,
point,eval_fair-fino-resample,pretraining,fino,resample,auc_sex_Female,0.970516,,,,,,
point,eval_fair-fino-resample,pretraining,fino,resample,auc_age_age<med,0.935961,,,,,,
point,eval_fair-fino-resample,pretraining,fino,resample,auc_age_age>=med,0.953775,,,,,,
point,eval_fair-fino-resample,pretraining,fino,resample,aucdelta_race,0.026757,,0.001519,0.108468,,,
point,eval_fair-fino-resample,pretraining,fino,resample,aucdelta_sex,0.038621,,0.002283,0.091991,,,
point,eval_fair-fino-resample,pretraining,fino,resample,aucdelta_age,0.017814,,0.000915,0.082227,,,
point,eval_fair-fino-resample,pretraining,fino,resample,esauc_race,0.922342,,0.848002,0.954636,,,
point,eval_fair-fino-resample,pretraining,fino,resample,esauc_sex,0.911806,,0.847630,0.960756,,,
point,eval_fair-fino-resample,pretraining,fino,resample,esauc_age,0.930446,,0.856115,0.961442,,,
point,eval_fair-fino-resample,pretraining,fino,resample,ecedelta_race,0.031164,,0.002004,0.112800,,,
point,eval_fair-fino-resample,pretraining,fino,resample,ecedelta_sex,0.000994,,0.001294,0.091246,,,
point,eval_fair-fino-resample,pretraining,fino,resample,ecedelta_age,0.015261,,0.001047,0.089275,,,
point,eval_fair-fino-resample,pretraining,fino,resample,ece_race_White,0.077375,,,,,,
point,eval_fair-fino-resample,pretraining,fino,resample,ece_race_Asian,0.108540,,,,,,
point,eval_fair-fino-resample,pretraining,fino,resample,ece_race_Black,0.000405,,,,,,
point,eval_fair-fino-resample,pretraining,fino,resample,ece_sex_Male,0.085525,,,,,,
point,eval_fair-fino-resample,pretraining,fino,resample,ece_sex_Female,0.086519,,,,,,
point,eval_fair-fino-resample,pretraining,fino,resample,ece_age_age<med,0.102471,,,,,,
point,eval_fair-fino-resample,pretraining,fino,resample,ece_age_age>=med,0.087210,,,,,,
point,eval_fair-dann-none,pretraining,dann,none,auc_overall,0.953054,,0.924229,0.976927,,,
point,eval_fair-dann-none,pretraining,dann,none,auc_race_White,0.954060,,,,,,
point,eval_fair-dann-none,pretraining,dann,none,auc_race_Asian,0.929256,,,,,,
point,eval_fair-dann-none,pretraining,dann,none,auc_race_Black,1.000000,,,,,,
point,eval_fair-dann-none,pretraining,dann,none,auc_sex_Male,0.933021,,,,,,
point,eval_fair-dann-none,pretraining,dann,none,auc_sex_Female,0.990172,,,,,,
point,eval_fair-dann-none,pretraining,dann,none,auc_age_age<med,0.942118,,,,,,
point,eval_fair-dann-none,pretraining,dann,none,auc_age_age>=med,0.958012,,,,,,
point,eval_fair-dann-none,pretraining,dann,none,aucdelta_race,0.024804,,0.001026,0.099647,,,
point,eval_fair-dann-none,pretraining,dann,none,aucdelta_sex,0.057151,,0.015950,0.103439,,,
point,eval_fair-dann-none,pretraining,dann,none,aucdelta_age,0.015894,,0.000910,0.079156,,,
point,eval_fair-dann-none,pretraining,dann,none,esauc_race,0.929987,,0.852979,0.960768,,,
point,eval_fair-dann-none,pretraining,dann,none,esauc_sex,0.901531,,0.839151,0.953554,,,
point,eval_fair-dann-none,pretraining,dann,none,esauc_age,0.938143,,0.870562,0.966180,,,
point,eval_fair-dann-none,pretraining,dann,none,ecedelta_race,0.023684,,0.001909,0.106058,,,
point,eval_fair-dann-none,pretraining,dann,none,ecedelta_sex,0.001507,,0.001180,0.075871,,,
point,eval_fair-dann-none,pretraining,dann,none,ecedelta_age,0.003936,,0.001464,0.080525,,,
point,eval_fair-dann-none,pretraining,dann,none,ece_race_White,0.059346,,,,,,
point,eval_fair-dann-none,pretraining,dann,none,ece_race_Asian,0.083030,,,,,,
point,eval_fair-dann-none,pretraining,dann,none,ece_race_Black,0.010455,,,,,,
point,eval_fair-dann-none,pretraining,dann,none,ece_sex_Male,0.055857,,,,,,
point,eval_fair-dann-none,pretraining,dann,none,ece_sex_Female,0.057363,,,,,,
point,eval_fair-dann-none,pretraining,dann,none,ece_age_age<med,0.063023,,,,,,
point,eval_fair-dann-none,pretraining,dann,none,ece_age_age>=med,0.066959,,,,,,
point,eval_fair-dann-weight,pretraining,dann,weight,auc_overall,0.950132,,0.920352,0.974643,,,
point,eval_fair-dann-weight,pretraining,dann,weight,auc_race_White,0.952279,,,,,,
point,eval_fair-dann-weight,pretraining,dann,weight,auc_race_Asian,0.927782,,,,,,
